"Year","Australia","Austria","Brazil","Germany","Russia","USA"
"1999","1.41%","0.51%","4.86%","0.60%","85.75%","2.20%"
"2000","4.46%","1.96%","7.04%","1.40%","20.80%","3.40%"
"2001","4.41%","2.30%","6.84%","2.00%","21.48%","2.80%"
"2002","3.05%","1.68%","8.45%","1.30%","15.79%","1.60%"
"2003","2.76%","1.30%","14.71%","1.10%","13.66%","2.30%"
"2004","2.28%","1.96%","6.60%","1.70%","10.89%","2.70%"
"2005","2.72%","2.10%","6.87%","1.50%","12.69%","3.40%"
"2006","3.52%","1.69%","4.18%","1.60%","9.67%","3.20%"
"2007","2.36%","2.20%","3.64%","2.30%","9.01%","2.80%"
"2008","4.35%","3.23%","5.68%","2.60%","14.11%","3.80%"
"2009","1.77%","0.41%","4.89%","0.30%","11.65%","-0.40%"
"2010","2.86%","1.69%","5.04%","1.10%","6.85%","1.60%"
"2011","3.33%","3.54%","6.64%","2.10%","8.44%","3.20%"
"2012","1.71%","2.57%","5.40%","2.00%","5.08%","2.10%"
"2013","2.48%","2.12%","6.20%","1.40%","6.75%","1.50%"
"2014","2.49%","1.47%","6.33%","1.00%","7.82%","1.60%"
"2015","1.49%","0.81%","9.03%","0.50%","15.53%","0.10%"
"2016","1.28%","0.97%","8.74%","0.50%","7.04%","1.30%"
"2017","2.00%","2.23%","3.45%","1.50%","3.68%","2.10%"
"2018","1.93%","2.12%","3.67%","1.80%","2.88%","2.40%"
"2019","1.57%","1.49%","3.73%","1.40%","4.47%","1.80%"
"2020","0.89%","1.38%","3.21%","0.50%","3.38%","1.24%"
"2021","2.50%","2.76%","8.28%","3.10%","6.68%","4.69%"
